2018-12-16 08:29:12.186 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2018-12-16 08:34:12.198 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2018-12-16 08:37:47.581 [http-nio-5200-exec-2] INFO  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Fetched for remote master and found 1 updates
2018-12-16 08:37:47.706 [http-nio-5200-exec-2] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@370afddd: startup date [Sun Dec 16 08:37:47 CST 2018]; root of context hierarchy
2018-12-16 08:37:47.712 [http-nio-5200-exec-2] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-16 08:37:47.720 [http-nio-5200-exec-2] INFO  o.s.c.c.s.environment.NativeEnvironmentRepository - Adding property source: file:/var/folders/g7/jyl43l_11dl7bq9h6qkmcls00000gp/T/config-repo-8079182886969051450/git-config-file/application-dev.yml
2018-12-16 08:37:47.720 [http-nio-5200-exec-2] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@370afddd: startup date [Sun Dec 16 08:37:47 CST 2018]; root of context hierarchy
2018-12-16 08:38:32.742 [http-nio-5200-exec-4] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@25b0c4b9: startup date [Sun Dec 16 08:38:32 CST 2018]; root of context hierarchy
2018-12-16 08:38:32.746 [http-nio-5200-exec-4] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-16 08:38:32.751 [http-nio-5200-exec-4] INFO  o.s.c.c.s.environment.NativeEnvironmentRepository - Adding property source: file:/var/folders/g7/jyl43l_11dl7bq9h6qkmcls00000gp/T/config-repo-8079182886969051450/git-config-file/application-dev.yml
2018-12-16 08:38:32.751 [http-nio-5200-exec-4] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@25b0c4b9: startup date [Sun Dec 16 08:38:32 CST 2018]; root of context hierarchy
2018-12-16 08:39:12.229 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2018-12-16 08:41:25.216 [http-nio-5200-exec-6] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@61994d87: startup date [Sun Dec 16 08:41:25 CST 2018]; root of context hierarchy
2018-12-16 08:41:25.226 [http-nio-5200-exec-6] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-12-16 08:41:25.238 [http-nio-5200-exec-6] INFO  o.s.c.c.s.environment.NativeEnvironmentRepository - Adding property source: file:/var/folders/g7/jyl43l_11dl7bq9h6qkmcls00000gp/T/config-repo-8079182886969051450/git-config-file/application-dev.yml
2018-12-16 08:41:25.238 [http-nio-5200-exec-6] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@61994d87: startup date [Sun Dec 16 08:41:25 CST 2018]; root of context hierarchy
